[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.71273644 0.04779319],[0.22017654 0.54501892],[0.72017654 0.54501892],
[0.22761665 0.04224464],[0.72761665 0.04224464],[0.23505675 0.53947037],
[0.73505675 0.53947037],[0.24249685 0.03669609],[0.74249685 0.03669609],
[0.24993695 0.53392182],[0.74993695 0.53392182],[0.25737705 0.03114754],
[0.75737705 0.03114754],[0.26481715 0.52837327],[0.76481715 0.52837327],
[0.27225725 0.02559899],[0.77225725 0.02559899],[0.27969735 0.52282472],
[0.77969735 0.52282472],[0.28713745 0.02005044],[0.78713745 0.02005044],
[0.29457755 0.51727617],[0.79457755 0.51727617],[0.30201765 0.01450189],
[0.80201765 0.01450189],[0.30945776 0.51172762],[0.80945776 0.51172762],
[0.31689786 0.00895334],[0.81689786 0.00895334],[0.32433796 0.50617907],
[0.82433796 0.50617907],[0.33177806 0.00340479],[0.83177806 0.00340479],
[0.33921816 0.50063052],[0.83921816 0.50063052],[0.34665826 0.99785624],
[0.84665826 0.99785624],[0.35409836 0.49508197],[0.85409836 0.49508197],
[0.36153846 0.99230769],[0.86153846 0.99230769],[0.36897856 0.48953342],
[0.86897856 0.48953342],[0.37641866 0.98675914],[0.87641866 0.98675914],
[0.38385876 0.48398487],[0.88385876 0.48398487],[0.39129887 0.98121059],
[0.89129887 0.98121059],[0.39873897 0.47843632],[0.89873897 0.47843632],
[0.40617907 0.97566204],[0.90617907 0.97566204],[0.41361917 0.47288777],
[0.91361917 0.47288777],[0.42105927 0.97011349],[0.92105927 0.97011349],
[0.42849937 0.46733922],[0.92849937 0.46733922],[0.43593947 0.96456494],
[0.93593947 0.96456494],[0.44337957 0.46179067],[0.94337957 0.46179067],
[0.45081967 0.95901639],[0.95081967 0.95901639],[0.45825977 0.45624212],
[0.95825977 0.45624212],[0.46569987 0.95346784],[0.96569987 0.95346784],
[0.47313997 0.45069357],[0.97313997 0.45069357],[0.48058008 0.94791929],
[0.98058008 0.94791929],[0.48802018 0.44514502],[0.98802018 0.44514502],
[0.49546028 0.94237074],[0.99546028 0.94237074],[0.50290038 0.43959647],
[0.00290038 0.43959647],[0.51034048 0.93682219],[0.01034048 0.93682219],
[0.51778058 0.43404792],[0.01778058 0.43404792],[0.52522068 0.93127364],
[0.02522068 0.93127364],[0.53266078 0.42849937],[0.03266078 0.42849937],
[0.54010088 0.92572509],[0.04010088 0.92572509],[0.54754098 0.42295082],
[0.04754098 0.42295082],[0.55498108 0.92017654],[0.05498108 0.92017654],
[0.56242119 0.41740227],[0.06242119 0.41740227],[0.56986129 0.91462799],
[0.06986129 0.91462799],[0.57730139 0.41185372],[0.07730139 0.41185372],
[0.58474149 0.90907945],[0.08474149 0.90907945],[0.59218159 0.40630517],
[0.09218159 0.40630517],[0.59962169 0.9035309 ],[0.09962169 0.9035309 ],
[0.60706179 0.40075662],[0.10706179 0.40075662],[0.61450189 0.89798235],
[0.11450189 0.89798235],[0.62194199 0.39520807],[0.12194199 0.39520807],
[0.62938209 0.8924338 ],[0.12938209 0.8924338 ],[0.63682219 0.38965952],
[0.13682219 0.38965952],[0.6442623  0.88688525],[0.1442623  0.88688525],
[0.6517024  0.38411097],[0.1517024  0.38411097],[0.6591425 0.8813367],
[0.1591425 0.8813367],[0.6665826  0.37856242],[0.1665826  0.37856242],
[0.6740227  0.87578815],[0.1740227  0.87578815],[0.6814628  0.37301387],
[0.1814628  0.37301387],[0.6889029 0.8702396],[0.1889029 0.8702396],
[0.696343   0.36746532],[0.196343   0.36746532],[0.7037831  0.86469105],
[0.2037831  0.86469105],[0.7112232  0.36191677],[0.2112232  0.36191677],
[0.7186633 0.8591425],[0.2186633 0.8591425],[0.7261034  0.35636822],
[0.2261034  0.35636822],[0.73354351 0.85359395],[0.23354351 0.85359395],
[0.74098361 0.35081967],[0.24098361 0.35081967],[0.74842371 0.8480454 ],
[0.24842371 0.8480454 ],[0.75586381 0.34527112],[0.25586381 0.34527112],
[0.76330391 0.84249685],[0.26330391 0.84249685],[0.77074401 0.33972257],
[0.27074401 0.33972257],[0.77818411 0.8369483 ],[0.27818411 0.8369483 ],
[0.78562421 0.33417402],[0.28562421 0.33417402],[0.79306431 0.83139975],
[0.29306431 0.83139975],[0.80050441 0.32862547],[0.30050441 0.32862547],
[0.80794451 0.8258512 ],[0.30794451 0.8258512 ],[0.81538462 0.32307692],
[0.31538462 0.32307692],[0.82282472 0.82030265],[0.32282472 0.82030265],
[0.83026482 0.31752837],[0.33026482 0.31752837],[0.83770492 0.8147541 ],
