[0.65849673 1.10109929],[0.30392157 0.4991342 ],[0.6748366  0.43096541],
[0.18137255 1.34142316],[0.67156863 1.0363967 ],[0.57026144 1.30213945],
[0.11111111 0.3928371 ],[0.00980392 0.65857985],[0.48202614 0.32466831],
[0.97222222 0.01964186],[0.00653595 1.26401114],[0.47875817 0.93009961],
[0.37745098 1.19584235],[0.12418301 0.32813452],[0.02287582 0.59387726],
[0.01960784 1.19930856],[0.88398693 0.22068202],[0.39052288 1.13113977],
[0.88071895 0.82611331],[0.03594771 0.52917468],[0.40359477 1.06643719],
[0.32026144 0.18255371],[0.69117647 0.11438492],[0.6879085  0.71981622],
[0.58660131 0.98555896],[0.33333333 0.11785113],[0.23202614 0.38359387],
[0.70424837 0.04968234],[0.22875817 0.98902517],[0.60294118 0.31542508],
[0.70098039 0.65511364],[0.5996732  0.92085638],[0.24509804 0.31889129],
[0.97058824 0.85268759],[0.6127451 0.8561538],[0.98039216 1.3934163 ],
[0.05228758 0.2125942 ],[0.04901961 0.81802549],[0.8120915  0.10514169],
[0.91013072 0.44483025],[0.06535948 0.14789161],[0.80882353 0.71057299],
[0.45424837 0.1086079 ],[0.80555556 1.31600429],[0.82189542 0.64587041],
[0.26143791 0.00231081],[0.25816993 0.6077421 ],[0.15686275 0.87348485],
[0.62908497 0.53957331],[0.62581699 1.14500461],[0.5245098  1.41074735],
[0.16993464 0.80878227],[0.64215686 0.47487073],[0.5375817  1.34604477],
[0.18300654 0.74407968],[0.55065359 1.28134219],[0.46732026 0.39745871],
[0.93954248 0.06354718],[0.83823529 0.32928992],[0.83496732 0.93472122],
[0.73366013 1.20046396],[0.37908497 0.59849888],[0.85130719 0.26458734],
[0.37581699 1.20393017],[0.75       0.53033009],[0.74673203 1.13576138],
[0.39215686 0.5337963 ],[0.75980392 1.0710588 ],[0.18627451 0.49220178],
[0.55392157 1.02946428],[0.19934641 0.4274992 ],[0.09803922 0.69324194],
[0.19607843 1.03293049],[0.09477124 1.29867324],[0.95915033 0.3200467 ],
[0.56699346 0.9647617 ],[0.2124183  0.36279662],[0.10784314 1.23397066],
[0.96895425 0.86077541],[0.39542484 0.28191839],[0.0375817 0.2853846],
[0.7630719 0.8191809],[0.40849673 0.21721581],[0.30718954 0.48295855],
[0.40522876 0.8226471 ],[0.77941176 0.14904702],[0.30392157 1.08838985],
[0.87745098 0.48873557],[0.77614379 0.75447831],[0.42156863 0.15251323],
[0.77287582 1.35990961],[0.31699346 1.02368727],[0.78921569 0.68977573],
[0.21568627 0.11091871],[0.97222222 0.60889751],[0.61764706 0.00693242],
[0.12418301 0.91739017],[0.61437908 0.61236372],[0.98529412 0.54419492],
[0.14052288 0.24725629],[0.98202614 1.14962622],[0.1372549  0.85268759],
[0.03594771 1.11843033],[0.99836601 0.47949234],[0.89705882 0.74523509],
[0.89379085 1.35066638],[0.79248366 0.43789783],[0.33333333 0.70710678],
[0.3496732 0.0369729],[0.70098039 1.24436929],[0.34640523 0.6424042 ],
[0.24509804 0.90814694],[0.34313725 1.2478355 ],[0.71732026 0.57423541],
[0.71405229 1.17966671],[0.54248366 0.49682339],[0.18464052 0.5002896 ],
[0.91013072 1.0340859 ],[0.06535948 0.73714727],[0.55555556 0.43212081],
[0.45424837 0.69786356],[0.0620915  1.34257856],[0.55228758 1.03755211],
[0.92647059 0.36395202],[0.92320261 0.96938332],[0.82189542 1.23512606],
[0.46405229 1.23859227],[0.3627451  0.32582371],[0.00490196 0.32928992],
[0.2745098  0.52686388],[0.76470588 0.22183742],[0.37254902 0.86655243],
[0.27124183 1.13229517],[0.64215686 1.06412638],[0.2875817  0.46216129],
[0.28431373 1.06759259],[0.18300654 1.33333534],[0.57189542 0.11554032],
[0.93954248 0.65280283],[0.1127451  0.38474928],[0.58496732 0.05083774],
[0.48366013 0.31658049],[0.48039216 0.92201178],[0.95261438 0.58810025],
[0.12581699 0.3200467 ],[0.85130719 0.85384299],[0.49673203 0.25187791],
[0.49346405 0.8573092 ],[0.39215686 1.12305195],[0.86437908 0.78914041],
[0.86111111 1.39457171],[0.69281046 0.1062971 ],[0.68954248 0.71172839],
[0.70588235 0.04159452],[0.2124183  0.95205227],[0.70261438 0.64702581],
[0.14215686 0.00346621],[0.0375817  0.87464025],[0.50980392 0.54072872],
[0.05392157 0.20450637],[0.40522876 1.41190276],[0.87745098 1.07799122],
[0.05065359 0.80993767],[0.52287582 0.47602613],[0.42156863 0.74176888],
[0.06699346 0.13980379],[0.41830065 1.34720017],[0.06372549 0.74523509],
[0.78921569 1.27903138],[0.43464052 0.6770663 ],[0.43137255 1.28249759],
[0.71895425 0.33044533],[0.61437908 1.20161937],[0.25980392 0.59965428],
[0.73202614 0.26574274],[0.63071895 0.53148549],[0.62745098 1.13691679],
[0.27287582 0.5349517 ],[0.99836601 1.06874799],[0.64379085 0.46678291],
[0.64052288 1.0722142 ],[0.53921569 1.33795695],[0.08006536 0.4286546 ],
[0.45098039 0.36048581],[0.94117647 0.05545936],[0.44771242 0.96591711],
[0.09313725 0.36395202],[0.85294118 0.25649952],[0.35947712 1.16695727],
[0.8496732  0.86193081],[0.28921569 0.21837121],[0.1879085  0.48411396],
[0.66013072 0.15020242],[0.18464052 1.08954525],[0.65686275 0.75563372],
[0.30228758 0.15366863],[0.20098039 0.41941138],[0.67320261 0.08549984],
[0.19771242 1.02484267],[0.66993464 0.69093114],[0.56862745 0.95667388],
[0.21405229 0.35470879],[0.10947712 1.22588283],[0.58169935 0.8919713 ],
[0.00490196 0.91854557],[0.86601307 0.54535033],[0.02124183 0.2484117 ],
