[0.02855603 0.22095445],[0.29364224 1.13328249],[-0.13793103  0.72986243],
[0.23006466 0.06414807],[0.06357759 0.57305605],[0.53663793 0.30220866],
[-0.14278017  1.21026016],[0.73814655 0.14540228],[0.53178879 0.7826064 ],
[0.10021552 0.37918634],[0.36530172 1.29151438],[0.05872845 1.05345378],
[0.73329741 0.62580001],[-0.17133621  0.49322735],[0.56681034 1.134708  ],
[0.60829741 0.46044056],[0.30172414 0.22237996],[-0.03125     1.24019593],
[-0.22952586  1.13185697],[0.13523707 0.73128794],[0.50323276 0.06557358],
[0.80980603 0.30363418],[0.4450431 0.7042032],[0.64331897 0.81254216],
[-0.09967672  0.65145924],[0.1018319  0.49465286],[0.57489224 0.22380547],
[-0.26293103  0.89522189],[0.21012931 0.6243745 ],[0.04364224 1.13328249],
[0.40840517 0.73271346],[0.77640086 0.06699909],[0.88469828 0.19672073],
[-0.01993534  0.06414807],[0.24515086 0.9764761 ],[-0.18642241  0.57305605],
[0.28663793 0.30220866],[-0.35290948  1.08196403],[0.12015086 0.81111665],
[0.71821121 0.70562872],[0.01508621 0.41624967],[0.48814655 0.14540228],
[0.32165948 0.65431026],[0.79471983 0.38346288],[0.11530172 1.29151438],
[0.31681034 1.134708  ],[-0.11476293  0.73128794],[-0.28125     1.24019593],
[0.25323276 0.06557358],[0.51831897 0.97790162],[0.55980603 0.30363418],
[0.08674569 0.57448156],[-0.07974138  1.08338955],[0.39331897 0.81254216],
[0.76131466 0.14682779],[0.59482759 0.65573578],[0.16325431 0.25231572],
[0.23006466 1.05630481],[-0.31465517  1.00356084],[0.35991379 0.57590707],
[0.83297414 0.30505969],[-0.00484914  0.9764761 ],[0.30172414 1.2145367 ],
[-0.29633621  1.32002463],[0.12984914 0.01568064],[0.66971983 0.54882234],
[0.23814655 0.14540228],[0.50323276 1.05773032],[0.07165948 0.65431026],
[-0.09482759  1.16321825],[0.37823276 0.89237086],[0.2731681  0.49750388],
[0.74622845 0.2266565 ],[0.10668103 1.00641187],[0.57974138 0.73556448],
[0.94773707 0.06985012],[-0.16325431  0.57448156],[-0.32974138  1.08338955],
[0.14331897 0.81254216],[0.03825431 0.41767518],[0.51131466 0.14682779],
[0.34482759 0.65573578],[-0.12823276  0.92658316],[-0.08674569  0.25231572],
[-0.25323276  0.76122371],[0.17834052 1.16464376],[0.81788793 0.38488839],
[0.23976293 0.2608688 ],[0.54633621 0.4989294 ],[0.11476293 0.09550934],
[-0.05172414  0.60441733],[0.42133621 0.33356994],[0.48814655 1.13755902],
[0.62284483 0.17676356],[-0.05657328  1.08481506],[0.61799569 0.65716129],
[0.25323276 1.05773032],[-0.34482759  1.16321825],[0.38793103 0.09693485],
[0.45474138 0.90092394],[0.0231681  0.49750388],[-0.14331897  1.00641187],
[0.32974138 0.73556448],[0.16325431 1.24447246],[0.69773707 0.06985012],
[0.53125   0.5787581],[0.05818966 0.84960549],[0.36476293 1.08766608],
[0.73275862 0.42195172],[0.09482759 0.65573578],[-0.07165948  1.16464376],
[-0.01023707  0.2608688 ],[-0.17672414  0.76977678],[0.29633621 0.4989294 ],
[0.12984914 1.00783738],[0.17133621 0.33356994],[0.76939655 0.22808201],
[0.60290948 0.73698999],[0.43642241 1.24589798],[0.49784483 0.34212301],
[0.97090517 0.07127563],[-0.10021552  0.44761094],[0.37284483 0.17676356],
