[0.61796043 0.45095547],[0.4261796  0.94496157],[0.25266362 0.65114095],
[0.54033486 0.97079196],[0.17503805 1.17097744],[0.00152207 0.87715681],
[0.48858447 0.13883832],[0.9391172  0.97617329],[0.12328767 0.3390238 ],
[0.5738204  1.17635877],[0.88736682 0.14421965],[0.23744292 0.36485418],
[0.80974125 0.66405614],[0.63622527 0.37023551],[0.27092846 0.570421  ],
[0.10806697 0.05273704],[0.19330289 1.09025749],[0.59056317 0.92558879],
[0.6803653  0.35193899],[0.50684932 0.05811837],[0.05175038 0.83195364],
[0.14155251 0.25830385],[0.98934551 0.93097012],[0.62404871 1.1311556 ],
[0.06392694 0.77814034],[0.46118721 0.61347164],[0.28767123 0.31965101],
[0.37290715 1.35717146],[0.85996956 0.61885297],[0.49467275 0.81903845],
[0.60882801 0.84486883],[0.2435312  1.04505431],[0.73059361 0.30673582],
[0.53120244 1.36470533],[0.55707763 0.01291519],[0.84474886 0.3325662 ],
[0.19178082 0.21310067],[0.47945205 0.53275168],[0.30593607 0.23893106],
[0.11415525 0.73293717],[0.96194825 1.40560343],[0.8782344  0.53813301],
[0.2283105  0.75876755],[0.71537291 0.02044905],[0.3500761  0.22063454],
[0.43531202 1.25815499],[0.46423135 0.24646492],[0.8325723  1.09348629],
[0.65905632 0.79966566],[0.74885845 0.22601587],[0.09893455 0.4466504 ],
[0.29375951 0.99985114],[0.58143075 1.31950215],[0.86605784 1.2990531 ],
[0.04261796 1.22586701],[0.13242009 0.65221721],[0.52968037 0.48754851],
[0.98021309 1.32488348],[0.36834094 0.13991458],[0.56316591 0.69311532],
[0.85083714 1.01276633],[0.48554033 1.21295181],[0.31202435 0.91913119],
[0.79908676 0.18081269],[0.14916286 0.40144723],[0.91324201 0.20664308],
[0.0608828  1.14514706],[0.72146119 0.70064919],[0.54794521 0.40682856],
[0.1826484  0.60701404],[0.47031963 0.92666505],[0.29680365 0.63284443],
[0.10502283 1.12685053],[0.41856925 0.09471141],[0.90106545 0.96756316],
[0.8173516  0.10009274],[0.1674277  0.32072728],[0.53576865 1.16774864],
[0.6499239  1.19357903],[0.28462709 1.39376451],[0.7716895  0.65544601],
[0.20091324 0.52629409],[0.59817352 0.36162539],[0.03805175 0.00861013],
[0.52054795 0.88146188],[0.15525114 1.08164736],[0.46879756 0.04950824],
[0.91933029 0.88684321],[0.7564688  0.36915925],[0.55403349 1.08702869],
[0.39117199 0.56934473],[0.21765601 0.2755241 ],[0.02587519 0.76953021],
[0.30289193 1.31304456],[0.78995434 0.57472606],[0.14003044 0.7953606 ],
[0.71232877 1.09456255],[0.53881279 0.80074193],[0.17351598 1.00092741],
[0.57077626 0.8362587 ],[0.66057839 0.26260891],[0.40943683 0.48862478],
[0.77777778 1.33564614],[0.23592085 0.19480415],[0.04414003 0.68881026],
[0.89193303 1.36147653],[0.19025875 0.75015742],[0.84018265 0.52952289],
[0.28006088 0.17650763],[0.76255708 1.04935938],[0.5890411  0.75553875],
[0.39726027 1.24954486],[0.22374429 0.95572423],[0.7108067  0.21740574],
[0.51141553 1.27537524],[0.82496195 0.24323612],[0.45966514 0.4434216 ],
[0.74733638 0.76307261],[0.09436834 0.64360709],[0.94216134 1.31627335],
[0.20852359 0.66943747],[0.33028919 0.13130446],[0.41552511 1.16882491],
[0.44444444 0.15713484],[0.81278539 1.00415621],[0.72907154 0.13668579],
[0.07914764 0.35732032],[0.56164384 1.23017207],[0.65144597 0.65652228],
[0.47792998 0.36270165],[0.84627093 1.20972302],[0.02283105 1.13653693],
[0.11263318 0.56288713],[0.96042618 1.2355534 ],[0.43226788 0.91805492],
[0.2587519 0.6242343],[0.34855403 0.0505845 ],[0.06697108 1.1182404 ],
[0.83105023 0.92343625],[0.46575342 1.12362173],[0.77929985 0.09148261],
[0.12937595 0.31211715],[0.57990868 1.14945212],[0.21461187 1.3496376 ],
[0.70167428 0.6113191 ],[0.5281583  0.31749848],[0.81582953 0.63714949],
[0.16286149 0.51768396],[0. 0.],[0.45053272 0.83733497],
[0.27701674 0.54351434],[0.93759513 0.09901647],[0.08523592 1.03752045],
[0.57229833 0.29920196],[0.39878234 0.00538133],[0.68645358 0.32503234],
[0.48401826 1.04290178],[0.5129376  0.03121171],[0.88127854 0.87823308],
[0.32115677 0.52521782],[0.14764079 0.2313972 ],[0.80365297 1.39806957],
[0.63013699 1.10424895],[0.71993912 0.53059915],[0.26484018 1.30443443],
[0.10197869 0.78675047],[0.50076104 0.7921318 ],[0.98782344 0.0538133 ],
[0.13546423 0.99231728],[0.42313546 1.31196829],[0.73668189 0.27982917],
[0.37138508 0.48001465],[0.82191781 1.31734962],[0.1978691  0.18619402],
[0.00608828 0.68020013],[0.94368341 0.77921661],[0.77016743 0.48539598],
[0.12024353 0.70603052],[0.24200913 0.1678975 ],[0.69254186 1.00523247],
[0.51902588 0.71141185],[0.35616438 0.19372789],[0.15372907 0.91159733],
[0.64079148 0.17327883],[0.92846271 0.49292984],[0.75494673 0.19910922],
[0.47336377 1.26676512],[0.38964992 0.3992947 ],[0.02435312 0.59948018],
[0.87214612 1.27214645],[0.17047184 0.66082734],[0.26027397 0.08717755],
[0.74277017 0.9600293 ],[0.37747336 1.16021478],[0.20395738 0.86639415],
[0.04109589 0.34871019],[0.49162861 1.18604516],[0.97869102 0.44772667],
[0.12633181 1.38623065],[0.80517504 0.15390604],[0.61339422 0.64791215],
[0.43987823 0.35409152],[0.89041096 1.19142649],[0.72754947 0.67374253],
[0.07458143 0.55427701],[0.52511416 1.39161198],[0.36225266 0.87392802],
[0.18873668 0.58010739],[0.93455099 1.17312997],[0.31050228 0.04197438],
[0.76103501 0.87930935],[0.42465753 0.06780476],[0.70928463 0.04735571],
[0.05936073 0.26799024],[0.99695586 0.36700672],[0.54185693 1.14084199],
[0.63165906 0.5671922 ],[0.17656012 1.34102747],[0.09284627 0.47355705],
[0.86757991 0.05488957],[0.41248097 0.82872484],[0.23896499 0.53490422],
[0.04718417 1.02891032],[0.9847793 1.1279268],[0.81126332 0.83410617],
[0.64840183 0.31642221],[0.44596651 1.03429165],[0.28310502 0.51660769],
[0.73363775 1.35394266],[0.10958904 0.22278707],[0.56012177 1.06012204],
[0.19482496 1.26030752],[0.68188737 0.52198902],[0.03196347 0.74262356],
[0.9695586  0.84164003],[0.79604262 0.54781941],[0.6042618  1.04182552],
[0.43074581 0.74800489],[0.91780822 0.00968639],[0.06544901 0.94819037],
[0.55251142 0.20987188],[0.66666667 0.23570226],[0.30136986 0.43588774],
