[0.68956044 0.34736184],[-0.28571429  0.61858957],[-0.16483516  0.7898913 ],
[0.33791209 0.24267745],[0.45879121 0.41397918],[-0.3956044   0.85650864],
[-0.17307692  0.69948206],[0.32967033 0.1522682 ],[0.67307692 0.16654335],
[0.56593407 0.72327396],[-0.18131868  0.60907281],[0.55769231 0.63286472],
[0.77197802 0.38542889],[-0.08241758  0.82795835],[0.14010989 0.67093177],
[0.26098901 0.8422335 ],[0.02472527 0.27122774],[0.1456044  0.44252946],
[0.76373626 0.29501964],[0.23901099 0.02379191],[0.01648352 0.18081849],
[0.25274725 0.75182425],[0.24450549 0.66141501],[0.46703297 0.50438842],
[0.12362637 0.49011328],[0.00824176 0.09040925],[0.35164835 0.10468439],
[0.34340659 0.01427514],[0.10714286 0.30929479],[0.57142857 0.49487166],
[0.79395604 0.33784508],[0.45054945 0.32356993],[-0.40384615  0.7660994 ],
[-0.06043956  0.78037454],[0.32142857 0.06185896],[0.66483516 0.0761341 ],
[-0.18956044  0.51866357],[-0.06868132  0.68996529],[0.15384615 0.53293871],
[0.54945055 0.54245547],
